Time,Displacement,Force
(s),(mm),(mN)
"3.0400","0.2944","25.5637"
"3.0500","0.2954","24.8810"
"3.0600","0.2964","24.3233"
"3.0700","0.2974","24.5089"
"3.0800","0.2984","25.1642"
"3.0900","0.2994","25.4519"
"3.1000","0.3005","25.6216"
"3.1100","0.3016","26.0912"
"3.1200","0.3027","26.5921"
"3.1300","0.3037","26.2697"
"3.1400","0.3048","25.5744"
"3.1500","0.3058","25.3196"
"3.1600","0.3068","25.3596"
"3.1700","0.3078","25.5239"
"3.1800","0.3087","25.7244"
"3.1900","0.3096","26.2046"
"3.2000","0.3105","26.5425"
"3.2100","0.3114","26.7173"
"3.2200","0.3124","26.9418"
"3.2300","0.3133","27.3539"
"3.2400","0.3142","27.4131"
"3.2500","0.3152","26.9740"
"3.2600","0.3161","26.3845"
"3.2700","0.3171","26.0113"
"3.2800","0.3181","26.0338"
"3.2900","0.3190","26.5107"
"3.3000","0.3200","27.1710"
"3.3100","0.3209","27.6440"
"3.3200","0.3219","27.7438"
"3.3300","0.3230","27.6118"
"3.3400","0.3241","27.5038"
"3.3500","0.3252","27.6323"
"3.3600","0.3263","27.9527"
"3.3700","0.3275","27.8714"
"3.3800","0.3286","27.3808"
"3.3900","0.3298","26.8871"
"3.4000","0.3309","26.9391"
"3.4100","0.3320","27.3328"
"3.4200","0.3331","27.9219"
"3.4300","0.3341","28.5587"
"3.4400","0.3351","29.1326"
"3.4500","0.3361","29.3676"
"3.4600","0.3370","28.8722"
"3.4700","0.3379","28.1211"
"3.4800","0.3387","27.6542"
"3.4900","0.3396","27.9883"
"3.5000","0.3404","28.3835"
"3.5100","0.3413","28.4500"
"3.5200","0.3422","28.4858"
"3.5300","0.3430","29.1081"
"3.5400","0.3439","29.5481"
"3.5500","0.3448","29.4446"
"3.5600","0.3458","29.1820"
"3.5700","0.3467","29.2772"
"3.5800","0.3477","29.2864"
"3.5900","0.3487","28.7915"
"3.6000","0.3497","28.3958"
"3.6100","0.3507","28.5640"
"3.6200","0.3517","29.3239"
"3.6300","0.3527","30.0157"
"3.6400","0.3537","30.4340"
"3.6500","0.3548","30.2430"
"3.6600","0.3560","29.9733"
"3.6700","0.3572","29.9214"
"3.6800","0.3584","30.1851"
"3.6900","0.3596","30.2978"
"3.7000","0.3608","30.0525"
"3.7100","0.3619","29.5349"
"3.7200","0.3630","29.3872"
"3.7300","0.3640","30.1254"
