x y0 y1 y2 y3 y4 y5 y6 y7 y8 y9
0.76 0.0 22.59016514475283 23.374930195469027 24.336842326755605 25.92278474659576 28.698322446899247 30.103655052014698 31.491023679589734 32.894267176673665 34.318319721613676
0.78 0.0 23.256981311593215 24.03706914317489 24.99356431864331 26.571309909288868 29.33455055103364 30.73456128541963 32.11721265841781 33.516181812491354 34.93636198681078
0.8 0.0 23.919808301121424 24.695442452366944 25.64678329425877 27.216736193725986 29.968298600586998 31.36325895801605 32.74143516414584 34.136350281939706 35.55285829103661
0.8200000000000001 0.0 24.578836574081684 25.350232285340148 26.296671034905692 27.859218259032435 30.599692879696892 31.98986126056426 33.363792452050426 34.75486279993983 36.16788869297228
0.84 0.0 25.234249553458405 26.00161367148753 26.943392201493854 28.498903892921387 31.228853623966444 32.614475831155154 33.98438072245013 35.37180501809938 36.78152916191204
0.86 0.0 25.886223537011368 26.649754502549612 27.58710440856633 29.135934171813624 31.85589524225315 33.237204981921316 34.603291342454696 35.98725823533212 37.39385177356578
0.88 0.0 26.534927681222133 27.294815584526717 28.227958339858993 29.77044364372163 32.480926542227415 33.858145924446156 35.22061106332452 36.601299602313446 38.00492489883375
0.9 0.0 27.180524043976973 27.936950735508614 28.866097896759662 30.402560528098412 33.10405095711717 34.47739099226937 35.836422232510316 37.21400231930046 38.61481338538589
0.92 0.0 27.823167674962047 28.57630692016207 29.50166037230525 31.03240692778525 33.72536677154307 35.09502785922393 36.450802999670685 37.82543582699456 39.223578731972125
0.9400000000000001 0.0 28.46300674425821 29.21302441295502 30.13477664448158 31.660099049004003 34.34496734476256 35.7111397526228 37.0638275161549 38.435665990247166 39.831279255466214
0.96 0.0 29.10018270098748 29.847236983387507 30.765571383579722 32.285747426039926 34.96294132999062 36.32580566055001 37.67556612759492 39.04475527450953 40.4379702507064
0.98 0.0 29.734830455080367 30.479072097550016 31.394163269224546 32.909457147862035 35.57937288875916 36.939100532707734 38.28608555937939 39.65276291500822 41.04370414324457
1.0 0.0 30.367078576307993 31.108651131248035 32.02066521343728 33.5313280844414 36.19434189952243 37.55109547443371 38.89544909488775 40.259745078693484 41.64853063515283
