x y0 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10
0.34 0.0 0.6859399060317265 1.516135318242695 2.4758932061200714 3.5334000540070347 4.660306394203403 5.845129842410088 7.092945160420956 8.420766217502612 9.855400479542963 10.67230833232225
0.36 0.0 0.8366374725210872 1.8292326127369598 2.9346748484667162 4.103653883928124 5.309587901195618 6.550984088950069 7.841858890745429 9.205025978612587 10.670657688827488 11.5029251154003
0.38 0.0 1.018937877977902 2.1950321629598175 3.4473523572196227 4.717888440017608 5.992341881887427 7.282705613893738 8.611693492756647 10.00695284012736 11.501244820193259 12.34782645769564
0.4 0.0 1.2383415877844368 2.616004124762275 4.0101173698521055 5.370428578288173 6.70397431793806 8.037199680145715 9.400435807650743 10.825168439309584 12.346118485258287 13.206072941752751
0.42 0.0 1.5005299081198913 3.092241494141914 4.61775599020143 6.055988507600875 7.440753827404942 8.812051830073857 10.206481946195527 11.65850848476546 13.204339096361874 14.076796309567312
0.44 0.0 1.8108689142924201 3.6213694813481974 5.264588979564804 6.770051617661129 8.199742946647735 9.6053672136269 11.028514147070698 12.505952289748272 14.075038275865154 14.959179995416553
0.46 0.0 2.173717188317535 4.199031702320557 5.945234741458569 7.508963475872201 8.978650569052025 10.415625718487345 11.865408923158784 13.366575630059582 14.95739936739323 15.852448461916234
0.48 0.0 2.5916611527921374 4.819767100811566 6.655042326967592 8.269852100597863 9.775672425900613 11.241566915605633 12.716172885690662 14.239520986596776 15.850646757794484 16.75586212468803
0.5 0.0 3.0649307484192763 5.477923099967869 7.390222793296149 9.050477141623482 10.58935195386866 12.082105788704387 13.579900404170507 15.123980000661412 16.754040793171043 17.66871557361757
0.52 0.0 3.5912778844868773 6.168319982641136 8.147789230723783 9.849071302549536 11.418471953241628 12.936274733711388 14.455747287833994 16.01918405876256 17.66687599530085 18.590337529030503
0.54 0.0 4.166433522360518 6.886578619873932 8.925411974779449 10.664203813015938 12.26197635151887 13.803185849820734 15.342915573615445 16.924399977077762 18.58848101550405 19.52009151957863
0.56 0.0 4.784971988497037 7.629177880270021 9.72125855398978 11.49467495795254 13.118917006549102 14.682007891349674 16.24064560699191 17.838928643579305 19.51821931181006 20.457376663776074
0.58 0.0 5.441231027989678 8.393357628854359 10.533852673438636 12.339440361303959 13.988419545165891 15.571953244350482 17.148212621478965 18.76210517083803 20.45548993070462 21.40162821107705
0.6 0.0 6.129993820073414 9.176963424532616 11.361963734215507 13.197559768618706 14.869662788484833 16.47227138939839 18.064925863211492 19.693299630166102 21.399728048899984 22.352317680698352
0.62 0.0 6.846834247894222 9.978290158133957 12.20452669699269 14.068164333714757 15.761867362664642 17.382246290194388 18.990128956171215 20.63191780804026 22.350405113039987 23.308952551887376
0.64 0.0 7.588186075834949 10.795950255069647 13.0605873825105 14.950437045340113 16.664290177617573 18.301195938488334 19.92320068208187 21.577401680604602 23.307028530862077 24.2710755277516
0.66 0.0 8.351251542591472 11.628773207031507 13.929267205605825 15.843601993882729 17.576222397182054 19.228472888558777 20.863555688030882 22.52922947025613 24.269140935831473 25.238263431154742
0.68 0.0 9.133847415204826 12.475734169893807 14.809741833389545 16.746919253540195 18.496989274045625 20.163465054124902 21.81064486595789 23.48691525374363 25.236319083703695 26.21012580665244
0.7000000000000001 0.0 9.934247797276328 13.335906100088724 15.701229291255208 17.65968307977211 19.425950788370326 21.105596349057713 22.763955298920514 24.45000815267992 26.208172454972495 27.186303304918543
