x y0 y1 y2 y3 y4 y5
0.68 0.0 4.127967736151385e-11 1.0935018992644694e-10 2.2656876553179814e-10 4.190152948632046e-10 7.229643483063941e-10
0.7000000000000001 0.0 2.1002083919496957e-11 5.563468544910029e-11 1.1527261188509316e-10 2.1318466976378165e-10 3.6782646775460355e-10
0.72 0.0 1.0685343422108e-11 2.830555874756406e-11 5.86478679866684e-11 1.0846311335038472e-10 1.8714105432414697e-10
0.74 0.0 5.436439759313251e-12 1.4401171670950055e-11 2.983859186612639e-11 5.5183362718781455e-11 9.521276276648531e-11
0.76 0.0 2.7659267549129777e-12 7.32696172316409e-12 1.5181141192645785e-11 2.8075936849749277e-11 4.844191044218824e-11
0.78 0.0 1.407235461486996e-12 3.727777803038307e-12 7.723791020201572e-12 1.4284345700499122e-11 2.4646051843324844e-11
0.8 0.0 7.159667697450735e-13 1.8966016029389173e-12 3.929674783121451e-12 7.2675235445683764e-12 1.2539304621125028e-11
0.8200000000000001 0.0 3.6426627199795874e-13 9.649442188691275e-13 1.999321817577816e-12 3.697537120584402e-12 6.379689590077405e-12
0.84 0.0 1.8532971434210047e-13 4.909398706012473e-13 1.0172057360603017e-12 1.881215887950943e-12 3.2458290547606417e-12
0.86 0.0 9.429119756197748e-14 2.4977812378464393e-13 5.175292443552341e-13 9.571163457365683e-13 1.6513979409146355e-12
0.88 0.0 4.797304074650582e-14 1.2708096216542735e-13 2.633061427673878e-13 4.869572414008928e-13 8.401906302666347e-13
0.9 0.0 2.440750248137629e-14 6.465566599745449e-14 1.3396368528973705e-13 2.477518600628236e-13 4.2746831499430536e-13
0.92 0.0 1.2417936576634038e-14 3.289521163785826e-14 6.815742613442164e-14 1.2605004905154777e-13 2.1748535837168468e-13
0.9400000000000001 0.0 6.3179405159937606e-15 1.6736274106929596e-14 3.467682101475472e-14 6.413116277661306e-14 1.106511978710989e-13
0.96 0.0 3.214412645555248e-15 8.5150043740688e-15 1.764271311122829e-14 3.26283573074892e-14 5.629660627261398e-14
0.98 0.0 1.6354140450909704e-15 4.332224665249133e-15 8.976178231351302e-15 1.660050519111153e-14 2.864232777222843e-14
1.0 0.0 8.320584174465293e-16 2.204129290567211e-15 4.566858574019829e-15 8.445928491069563e-15 1.4572511462575518e-14
